0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
"Cumberland,NC",4.2383,3.5419,43.7138,0.4066,0.0408,8.4619,1.026,2.185,7.4596,3.3387,6.2324,16.2509,1.9512,3.8278,0.9048,4.858,1.1934,1.8362,8.455,3.7183,5.7682,2.3607,4.3876,1,1.2511,2.0865,1.5975,1.9589,1,7.2553,0.8654,1,5.5163,2,4.1676,5.4366,9.4979,1,0,3,2.2924,0.1653,6.4366,1.5889
"Cumberland,PA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2231,0,0,1,0,0,0,0.2231,0,0,0
"Curry,OR",0.0136,0,0,0.3012,0,2.7183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7183,0,1.6559,0,0,0,0,0,0,0,0,0.3867,0,0
"Custer,OK",0,0,0,0,0,0,0,0,0,0,0,0,0,1.579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6231,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.4111
"Cuyahoga,OH",0,0.5769,11,0,0,2.7183,0,0.192,0,0.1225,00.74080.7788,0.951200.4724,0,0,0,0,0.4066,0.0006,0,0,0,0,0,0.0743,0.2865030.9874,0,0,0,0,0.7788,0,1,0,0.0388,0.3867,0,1,0,0,2.7183,0,0,0,0
"Dale,AL",0,0,2.7183,0,0,0,0,0,0,0,0.1738,0,0,0,0,0,0,0,0,7.7278,1.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dallas,TX",0,0,0.6351,0,0,0,0,0.0369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8159,1.3717,0.7196,0,0,0,0,0,0,0,0
"Dane,WI",0,2.0382,4.1746,0.964,18.831,0.7788,0,0.7788,0,0.8607,3.7183,0,0,0.2725,0,0,0,0,4.9035,0,0.9048,0.4066,0,0,0.8773,0,2.7183,0.7788,0.2725,5.1906,0,0,0,0,0,0.8607,0,1,0,0,0,0,1.8607,0
"Dauphin,PA",0,0.055,0,0,3.8844,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8187,0,0,0,1.0004,0,0.4274,0,0,0,0,0
"Davidson,TN",1.16820.0213,4.60031.2348,41.88215.3634,0.95123.022,0.60652.0533,1.90482.7183,2.7611,5.04887.2471,2.71830.9132,0.95263.3675,7.61411,14.42795.3205,0.81870.5769,3.7183,2.7183,0.77880.0039,9.89421.2425,6.80411,5.14450.4302,1,2.40140.0707,0.28650.8831,3.5370.6367,2.71833.2265,10.7047,3.80330.7788,0.94294.2778,2.9532,1.8187,0.75241.2592,0.47242.7183,2.89520.6376,2.81879.6516,198.1005,251.71191.8187,185.2294.6806,12.06643.4921,0.1920.8187,6.17780.0004,0.02732.7185,3.91033.2674,1.1621,2.71830.1225,5.20251.0213
"Davis,UT",0.7408,0,0,0,0,0,0,0.7408,0,0,0.3679,0.7047,0.9807,0,0,0,0,0,0.4274,0,0.3679,0,0,0,0,0,0,9.7504,0,6.111,0,0,0,0,0,0,1.3558,0,0.1827,0,0,0,1.6376,0.7408
"Day,SD",3.6695,6.8743,61.8101,2.985,235.9694,7.4474,0,13.7374,5.7168,8.2799,11.4139,13.3251,5.2386,2.1297,5.1057,8.8521,2.9529,29.3729,18.4919,2.6703,0.9393,3.5945,7.8924,1.0571,1.4274,6.0604,6.8983,6.4543,1.5889,16.1535,11.8708,6.3892,5.9196,4.6629,4.8679,7.8922,22.1989,7.4029,4.8029,6.1313,5.0706,6.1678,11.1412,2.7947
"Decatur,GA",0,0,0,0,0,0,0,0,0.0001,0,0,0,1,0,0,0,0,0,0,0,0,21.0677,18.6872,1,0,0,0,0,0,0,0,0,0,0,0,0,2.9984,0,0,0,0,0,0,0
"Delaware,OH",0,0,0.0235,0,0,0,0,0,0,0,3.4967,0.7047,1.203,0,0,0,0,0,0.0074,0,0,0,0,2.8902,0,0,0,0,0,0,0,0,1,0,0,0,0.1287,0,0,0,0,2.7183,10.1376,0
"Delaware,PA",0,0,0.5769,0,0,0,0,0,0,4.1963,0,0,0,0.0067,0,0,0,0,0,0,0,0,0,0,2.7183,0,0,0,0.0273,0,0,0,0.3867,0.7181,0,0.3949,0,0,0,9.566,0,0,0,0.063912.7183
"Denver,CO",0,0,2.7183,0,0,0.6703,0,0,0,15.5483,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6722,0,0.3329,0,0.0001
"Dodge,WI",0,0,0,0,0,0.9512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1054,0,0,0,0,1.8684,5.4945,0,0,0,0,0.0143,0,0,0,0,0.9512,0,0
"Dougherty,GA",0,0,0.1572,0,0,0,0,0,0,6.1634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7183,0,0,0.6378,0,0,0,0
"Douglas,KS",0,2.7183,2.8561,2.7183,0,0.0351,0,0.8187,2.7183,0.3679,1,1.3345,3.1506,0,0.2466,10.5981,0,0.0033,0.9072,0,0,0,0.2019,162.0566,0,0.2019,0,0.3867,0.2466,0.646,0,0,0,0,0,0,0.0213,0,0.9048,2.7183,0.3679,0,0,0
"Douglas,NE",2.7183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7235,0,0,0,0,0,0,0.0024,0,0,0,0
